,Project Type,Reference Number,Project Name,Agency,Published Date,Procurement Category,Closed Date,Current Status,Qualification Criteria,Respondents,Awarded To,Awarded Value
167,Quotation,HLTHQ0ETQ19300033 / MOH ITQ B12/19,UNDERGROUND SERVICES DETECTION WORKS TO THE MINISTRY OF HEALTH FOR THE CONVERSION OF BLOCKS 'A' TO 'D' OF FORMER HENDERSON SECONDARY SCHOOL TO A BUILD,Ministry of Health-Ministry Headquarter,05 Jul 2019 12:05AM,Construction ⇒ Others,16 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
168,Quotation,NLB000ETQ19300056,INVITATION TO QUOTE FOR BRANDING & DESIGN CONSULTATION FOR NLB MAKERSPACE,National Library Board,04 Jul 2019 08:50AM,Construction ⇒ Interior Decoration,16 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
169,Tender,NPB000ETT19300063 / N/21/2019,PROPOSED BRIDGE CONSTRUCTION ACROSS PANG SUA CANAL INCLUDING PARK CONNECTOR TO WOODLANDS ROAD,National Parks Board,03 Jul 2019 05:20PM,Construction ⇒ Civil Engineering,29 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
170,Tender,STB000ETT19300044 / STB/F1/19-20/T20,TENDER FOR REMOVAL OF EXISTING PIT SLOW LANE TO BARE CONCRETE AND APPLICATION OF NEW FLOOR COATING SYSTEM,Singapore Tourism Board,03 Jul 2019 10:20AM,Construction ⇒ Concrete Products & Repairs,18 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
171,Quotation,INDMGSETQ19300008,Replacement of Broadloom Carpet in Methodist Girls' School Chapel,Methodist Girls' School (Secondary),02 Jul 2019 05:35PM,Construction ⇒ Renovation Supplies & Services,16 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
172,Quotation,MOESCHETQ19303150,"To construct a Plant Nursery for STEM (Science, Technology, Engineering and Mathematics) Elective.",Ministry of Education - Schools,02 Jul 2019 04:50PM,Construction ⇒ Interior Decoration,16 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
173,Quotation,MOESCHETQ19303148,"To renovate existing room -Approx. 12m length (L) x 8m width (W) x 3m height (H),with proper storage and facilities available.",Ministry of Education - Schools,02 Jul 2019 04:50PM,Construction ⇒ Interior Decoration,19 Jul 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
174,Qualification,LTA000EPQ19300010 / PQ_CSRC,Pre-Qualification for Roadworks in Southern Changi - Design and Build Civil Contracts,Land Transport Authority,02 Jul 2019 01:50PM,Construction ⇒ Civil Engineering,30 Jul 2019 04:00PM,CLOSED,"(1) This Pre-qualification (PQ) is for two (2) numbers Design and Build (D&B) Civil Contracts for roadworks in Southern Changi. The Land Transport Authority (LTA) invites applications for PQ from civil engineering contractors with proven expertise and experience in the design and construction of flyovers, tunnels, underpasses, bridges and expressways.
 (2) Applicants shall note that registration with the Building and Construction Authority (BCA) under CW02- Civil Engineering workhead in financial category A1 OR Limited A1 is the minimum qualifying criteria for this PQ exercise.  (3) Please refer to the PQ Notice and Brochure for futher details.",,Not Applicable,Not Applicable
175,Quotation,MOESCHETQ19303140,Improvement works to the school library for Pei Tong Primary School,Ministry of Education - Schools,02 Jul 2019 01:20PM,Construction ⇒ Renovation Supplies & Services,24 Jul 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
176,Tender,MOE000ETT19300060 / MOE000/HQS/HQFM/2019/06/001,ADDITIONS AND ALTERATIONS (A&A) AND FIT-OUT TERM CONTRACT FOR MINISTRY OF EDUCATION FACILITIES FOR A PERIOD OF THREE (3) YEARS,Ministry of Education,01 Jul 2019 06:35PM,Construction ⇒ General Building & Minor Construction Works,01 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
177,Tender,FINCEDETT19300009 / ALB/10/2019,Tender for Renovation and Fit-out Works for Singapore Customs Targeting Centre,Ministry of Finance - Singapore Customs,01 Jul 2019 05:35PM,Construction ⇒ Renovation Supplies & Services,25 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
178,Tender,LTA000ETT19300120 / 1416,Trial of Surface-Applied Protection on Tunnel Structures,Land Transport Authority,01 Jul 2019 04:20PM,Construction ⇒ Others,29 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
179,Quotation,MOESCHETQ19303128,"Junyuan Secondary School - Invitation to quote to supply, install and commission an Electronic Key Management System (EKMS).",Ministry of Education - Schools,01 Jul 2019 04:20PM,Construction ⇒ Others,12 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
180,Quotation,MOESCHETQ19303125,TO UPGRADE AND IMPROVE THE AESTHETICS OF THE GENERAL OFFICE AND TO REPAIR DAMAGED FURNITURE.,Ministry of Education - Schools,01 Jul 2019 02:20PM,Construction ⇒ Renovation Supplies & Services,09 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
181,Tender,NPO000ETT19300027 / NP/EM/18/19,"(Tender Ref: NP/EM/18/19, GRF Ref: EM/19/0031) Tender for re-roofing works at Block 1, 4, 5, 6, 7, 8, 35, 43 and 82 Annex Building",Ngee Ann Polytechnic,01 Jul 2019 11:35AM,Construction ⇒ Concrete Products & Repairs,22 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
182,Quotation,SCB000ETQ19300052,ITQ for the Fabrication and Installation of To The Moon: Snoopy Soars with NASA Exhibition,Science Centre Board,01 Jul 2019 11:20AM,Construction ⇒ Renovation Supplies & Services,09 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
183,Qualification,LTA000EPQ19300009 / 2PQ-JRL J108,Tender cum Pre-Qualification for Design and Build Civil Contract J108 for the Jurong Region Line (JRL),Land Transport Authority,28 Jun 2019 07:05PM,Construction ⇒ Civil Engineering,23 Jul 2019 04:00PM,CLOSED,"Pre-qualification (PQ) for the Civil Contract was advertised in GeBIZ on 15 May 2018 and all applicants have been informed of their applications. Tender Documents will ONLY be issued to the pre-qualified tenderers on 28 June 2019 for Civil Contract J108. Those who wish to be considered for the 2nd (final) pre-qualification for the Civil Contract J108 will need to submit their PQ applications electronically via GeBIZ as detailed in the PQ brochure. Interested applicants are required to submit previous and current records of similar work done, details of key personnel with relevant experience in design and/or construction, equipment to be deployed, safety records and financial capacity for LTA's consideration. Applicants should demonstrate that they have the necessary: (a) Technical expertise, project management capability and physical resources in the design and construction of similar works; and (b) Financial capacity to undertake and sustain a multi-million dollar project in Singapor",,Not Applicable,Not Applicable
184,Tender,SLA000ETT19300008 / PT18-16/7-6/1679,Dismantling Of Heritage Elements And Protection Works At 30 Keppel Road,Singapore Land Authority,28 Jun 2019 06:05PM,Construction ⇒ General Building & Minor Construction Works,30 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
185,Tender,HDB000ETT19300164 / BIG-TN190035,Supply of Fine Aggregates to the HDB (Batch 70),Housing and Development Board,28 Jun 2019 02:50PM,Construction ⇒ Others,31 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
186,Tender,HDB000ETT19300165 / BIG-TN190036,Supply of 20MM Aggregate to the HDB (Batch 75),Housing and Development Board,28 Jun 2019 02:50PM,Construction ⇒ Others,24 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
187,Tender,HDB000ETT19300162 / DPG-TN190074,Part A: Building Works at Woodlands Neighbourhood 5 Contract 24 (Total: 722 Dwelling Units); Part B: Contingency Work,Housing and Development Board,28 Jun 2019 02:50PM,Construction ⇒ General Building & Minor Construction Works,02 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
188,Quotation,HDB000ETQ19300187 / PLG-QN190027,Minor A&A Works,Housing and Development Board,28 Jun 2019 01:35PM,Construction ⇒ General Building & Minor Construction Works,09 Jul 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
189,Tender,PUB000ETT19300143 / WRN/33190016,Demolition of Mugliston Park Pumping Station and Grouting of Disused Pipelines,Public Utilities Board,28 Jun 2019 06:35AM,Construction ⇒ Demolition,25 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
190,Tender,CITHQ0ETT19300004,RECONFIGURATION OF OFFICE SPACE AT TRANSPORT SAFETY INVESTIGATION BUREAU (TSIB),Ministry of Transport - Ministry Headquarter,28 Jun 2019 12:05AM,Construction ⇒ Renovation Supplies & Services,31 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
191,Tender,SPO000ETT19300057 / SP/ED/19003/GBC,"RO19/ED/0023 Proposed A&A wortks to MAE laboratories at T18, Level 3",Singapore Polytechnic,28 Jun 2019 12:05AM,Construction ⇒ Renovation Supplies & Services,18 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
192,Tender,SDC000ETT19300023 / SDC/21.8.19/19,"DESIGN, SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF DIGITAL LIGHT ART AT SENTOSA",Sentosa Development Corporation,27 Jun 2019 06:05PM,Construction ⇒ Others,22 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
193,Quotation,MOESCHETQ19303102,"Invitation to quote requirement specifications for Conceptualise, Design and Install Heritage Gallery in St. Gabriel's Primary School.",Ministry of Education - Schools,27 Jun 2019 03:50PM,Construction ⇒ Renovation Supplies & Services,24 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
194,Quotation,HDB000ETQ19300182 / BQG-QN190009,CONSTRUCTION OF MEETING ROOM AT HDB HUB WEST WING,Housing and Development Board,27 Jun 2019 03:20PM,Construction ⇒ Renovation Supplies & Services,12 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
195,Quotation,PUB000ETQ19300175 / 44190212,44190212/CWS/Topographic and Hydrographic Survey for ABC Waters Project at Geylang River (Mountbatten Road to Singapore Indoor Stadium),Public Utilities Board,26 Jun 2019 04:20PM,Construction ⇒ Others,04 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
196,Quotation,BCA000ETQ19300038 / ORE201906030001,Land valuation for the 3 proposed ICPHs at Jalan Gali Batu,Building and Construction Authority,26 Jun 2019 12:05AM,Construction ⇒ Soil Investigation & Stabilization,04 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
197,Quotation,DEFEPS3000035105,REPLACEMENT OF STADIUM RUNNING TRACK IN NEE SOON CAMP,Ministry of Defence 3,26 Jun 2019 12:00AM,Construction ⇒ General Building & Minor Construction Works,09 Jul 2019 01:00PM,AWARDED,Not Applicable,No Respondents Despite Closed/Awarded,,
198,Quotation,MOE000ETQ19300274 / MOE000/HQS/HQFM/Q/2019/06/01,Accredited Checking Organisations (ACO) Services for Proposed Additions and Alterations to MOEHQ Off-Site at 565 Balestier Road Singapore 329927,Ministry of Education,24 Jun 2019 02:35PM,Construction ⇒ General Building & Minor Construction Works,03 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
199,Tender,HDB000ETT19300160 / BIG-TN190033,Supply Of Ordinary Portland Cement to the HDB (Batch 38),Housing and Development Board,24 Jun 2019 12:50PM,Construction ⇒ Others,19 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
200,Quotation,SLA000ETQ19300008 / PQ19-12/6-7/2,"Additions & Alteration Works to the SLA’s Office At Level 7, PSA Building",Singapore Land Authority,24 Jun 2019 11:20AM,Construction ⇒ General Building & Minor Construction Works,08 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
201,Tender,HLTHQ0ETT19300029 / MOH ITT B06/19,"ITT for Electrical System, Extra Low Voltage, Security System and Audio-Visual System at Proposed 12-Storey Health and Medical Care Development at SGH",Ministry of Health-Ministry Headquarter,24 Jun 2019 09:50AM,Construction ⇒ Others,21 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
202,Quotation,MOESCHETQ19303054,"MCS 2019 - Provision of Concept, Design, Fabrication, Installation and Furnishing of School Hall",Ministry of Education - Schools,24 Jun 2019 09:35AM,Construction ⇒ Renovation Supplies & Services,19 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
203,Tender,JTC000ETT19300095 / JTC19T0047,2-Year Term Contract for Soil Investigation Works for JTC Estates,Jurong Town Corporation,24 Jun 2019 12:05AM,Construction ⇒ Soil Investigation & Stabilization,08 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
204,Quotation,TPO000ETQ19300153 / EFM7/19/0028/LP,"Invitation to Quote for Proposed Additions & Alterations to 2nd Storey of Existing Block 9, Temasek Polytechnic",Temasek Polytechnic,24 Jun 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,11 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
205,Tender,IPO000ETT19300003 / IPO000ETT19300003,"Reinstatement Of IPOS Offices At 51 Bras Basah Road (Levels 1, 4 And 6) Inclusive of Disposal Services",Intellectual Property Office of Singapore,21 Jun 2019 04:50PM,Construction ⇒ Interior Decoration,16 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
206,Tender,LTA000ETT19300114 / AM102,Design and Construction of Cycling Facilities,Land Transport Authority,21 Jun 2019 04:20PM,Construction ⇒ Civil Engineering,15 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
207,Tender,HDB000ETT19300157 / DPG-TN190072,Part A: Building Works at Kallang Whampoa Contract 58 (Total: 583 Dwelling Units); Part B: Contingency Works,Housing and Development Board,21 Jun 2019 03:20PM,Construction ⇒ General Building & Minor Construction Works,23 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
208,Tender,SPO000ETT19300055 / SP/ED/19007/GBC,RO19/ED/0050 Proposed renovation to MAD staff office at Teaching Blocks 19 and 22 (T19 & T22) level 4 at Singapore Polytechnic,Singapore Polytechnic,21 Jun 2019 03:05PM,Construction ⇒ Renovation Supplies & Services,18 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
209,Tender,URA000ETT19300020 / URA/T/19/007,Tender For A New Nursing Room At The URA Centre,Urban Redevelopment Authority,21 Jun 2019 01:05PM,Construction ⇒ Interior Decoration,18 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
210,Tender,PUB000ETT19300138 / CW-RC/33190124,"Renovation Works for Office, Level One Staff Toilet and Common Area at Marina Barrage",Public Utilities Board,21 Jun 2019 09:05AM,Construction ⇒ Renovation Supplies & Services,25 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
211,Tender,NHB000ETT19300014 / NHB_TEN/13/2019,"INVITATION TO TENDER FOR PROPOSED RENOVATION AND RETROFITTING WORKS TO THE PERANAKAN MUSEUM AT 39 ARMENIAN STREET, SINGAPORE 179941",National Heritage Board,21 Jun 2019 08:35AM,Construction ⇒ Repairs & Redecoration,26 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
212,Tender,FOR000ETT19300035,Provision of exterior and interior repairs and repainting works for the chancery complex at the Singapore Embassy in Jakarta.,Ministry of Foreign Affairs,21 Jun 2019 12:05AM,Construction ⇒ Repairs & Redecoration,29 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
213,Quotation,DEFEPS3000035093,Supply of Banners,Ministry of Defence 3,21 Jun 2019 12:00AM,Construction ⇒ Signages,02 Jul 2019 01:00PM,AWARDED,Not Applicable,No Respondents Despite Closed/Awarded,,
214,Quotation,MOESCHETQ19303052,Appointment of Vendor for the provision of Designing and Retrofitting of Motivation Wall,Ministry of Education - Schools,20 Jun 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,04 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
215,Quotation,MOESCHETQ19303044,"Provision of design and renovation services for the re-modelling of school library, including the supply of furniture, book shelves and furnishing.",Ministry of Education - Schools,20 Jun 2019 09:50AM,Construction ⇒ Renovation Supplies & Services,12 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
216,Tender,SPC000ETT19300025,The REPLACEMENT OF 2 HOCKEY PITCHES AT SENGKANG HOCKEY STADIUM WITH 5 YEARS OF COMPREHENSIVE FIELD MAINTENANCE,Singapore Sports Council,19 Jun 2019 01:50PM,Construction ⇒ General Building & Minor Construction Works,22 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
217,Quotation,SDC000ETQ19300039 / SDC-PDD-2019-002,Proposed Consultancy Project To Conduct Study For the Slope Stability Of Tanjong Slope Facing the Beach,Sentosa Development Corporation,19 Jun 2019 10:50AM,Construction ⇒ Soil Investigation & Stabilization,10 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
218,Tender,PMOSTGETT19300003,"Demolition, Additions & Alterations to Existing Office Space",Prime Minister's Office - Strategy Group,18 Jun 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,19 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
219,Quotation,MOESCHETQ19303012,To Supply and Install Invisible Grille at the surrounding of ISH corridor and outside schools aircon control room,Ministry of Education - Schools,18 Jun 2019 12:05AM,Construction ⇒ Fencing & Ironworks,27 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
220,Quotation,AGO000ETQ19300002,Invitation To Quote (ITQ) For Addition And Alteration Works To Auditor-General's Office Headquarters (AGO HQ),Auditor-General's Office,17 Jun 2019 06:50PM,Construction ⇒ General Building & Minor Construction Works,08 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
221,Tender,NPB000ETT19300055 / N/24/2019,Maintenance Works at TreeTop Walk at the Central Catchment Nature Reserve,National Parks Board,17 Jun 2019 06:05PM,Construction ⇒ Others,16 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
222,Quotation,ITE000ETQ19300162,C18427_EFM_APPOINTMENT OF STRUCTURAL ENGINEER TO CARRY OUT PERIODIC STRUCTURAL INSPECTION,Institute of Technical Education,17 Jun 2019 06:05PM,Construction ⇒ Civil Engineering,25 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
223,Tender,NEA000ETT19300045,Installation of a Sheltered Ramp and Lift at Hawker Centre,National Environment Agency,17 Jun 2019 04:05PM,Construction ⇒ General Building & Minor Construction Works,12 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
224,Tender,JTC000ETT19300092 / JTC19T0036,Multi-Disciplinary Consultancy Services for the Upgrading of Junction 6 at Bartley Road East and Airport Road,Jurong Town Corporation,17 Jun 2019 12:05AM,Construction ⇒ Civil Engineering,01 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
225,Quotation,MOESCHETQ19303007,"Design, Fabrication and Installation of Furniture and Fittings in Staff Lounge & entrance of Staff Room and HOD Lounge & entrance of HOD Room",Ministry of Education - Schools,14 Jun 2019 05:05PM,Construction ⇒ Renovation Supplies & Services,02 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
226,Tender,HLTHQ0ETT19300028 / MOH ITT B05/19,"ITT for ACMV System including Isolation Room, Pharmacy Dept & Engineered Smoke Control at Proposed 12-Storey Health & Medical Care Development at SGH",Ministry of Health-Ministry Headquarter,14 Jun 2019 03:50PM,Construction ⇒ Others,16 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
227,Tender,MOE000ETT19300058 / MOE/SCD/FM/2019/JUN/T4,INVITATION TO TENDER FOR DEMOLITION OF FORMER FIRST TOA PAYOH SECONDARY SCHOOL AT 580 TOA PAYOH EAST SINGAPORE 319133,Ministry of Education,13 Jun 2019 04:50PM,Construction ⇒ Demolition,27 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
228,Tender,CDVHQ0ETT19300011,Invitation to Tender for Proposed Additions & Alterations for Voluntary Children's Home at 101 Elias Road,Ministry of Social and Family Development - Ministry Headquarter,13 Jun 2019 03:05PM,Construction ⇒ General Building & Minor Construction Works,22 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
229,Quotation,PUB000ETQ19300157 / 44190176,44190176/WSP/Perimeter drainage enhancement works at Woodleigh Waterworks.,Public Utilities Board,13 Jun 2019 12:35PM,Construction ⇒ Others,27 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
230,Quotation,SPC000ETQ19300046,"ITQ for the Design, Supply and Installation of Movable Office and Changing Room Facility with Toilets for Interim Duration",Singapore Sports Council,13 Jun 2019 11:35AM,Construction ⇒ Renovation Supplies & Services,21 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
231,Quotation,HLTHQ0ETQ19300026 / MOH ITQ B05/19,"INVITATION TO QUOTE FOR SOIL INVESTIGATION WORKS FOR THE PROPOSED DEVELOPMENT OF A POLYCLINIC AT TAMPINES NORTH , SINGAPORE",Ministry of Health-Ministry Headquarter,13 Jun 2019 10:20AM,Construction ⇒ Soil Investigation & Stabilization,02 Jul 2019 01:00PM,AWARDED,Not Applicable,,,
232,Tender,SPO000ETT19300052 / SP/ED/19006/GBC,RO19/ED/0041 Proposed tender to upgrade multi purpose field and installation of new high mast lights at Singapore Polytechnic,Singapore Polytechnic,13 Jun 2019 12:05AM,Construction ⇒ Renovation Supplies & Services,04 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
233,Tender,HDB000ETT19300139 / DPG-TN190065,Proposed Development of Integrated Park Project at Bidadari Estate,Housing and Development Board,12 Jun 2019 11:20AM,Construction ⇒ Civil Engineering,14 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
234,Quotation,MOESCHETQ19302967,"Supply, Installation, Test and Commission Rooftop Solar Panel System in Greenwood Primary School",Ministry of Education - Schools,12 Jun 2019 11:20AM,Construction ⇒ Renovation Supplies & Services,27 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
235,Tender,ITA000ETT19300006 / CDD/ITT/19/058,"ITT for Renovation Works for MCI Office Space at Level 1, 2, 4 and 5, 140 Hill Street, Old Hill Street Police Station",Ministry of Communications and Information,12 Jun 2019 11:05AM,Construction ⇒ Renovation Supplies & Services,08 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
236,Request for Information,MOMHQ0ERF19300002,Expression Of Interest (EOI) To Render Multi-Disciplinary Consultancy Services To Conduct Feasibility Studies For Ministry Of Manpower (MOM) Project,Ministry of Manpower-Ministry Headquarter,12 Jun 2019 10:20AM,Construction ⇒ Others,25 Jun 2019 04:00PM,CLOSED,Not Applicable,,Not Applicable,Not Applicable
237,Tender,MPA000ETT19300022 / CD/PA/025/2019,Design And Build Of A Drone Testing Facility At Marina South,Maritime and Port Authority of Singapore,11 Jun 2019 05:50PM,Construction ⇒ Civil Engineering,02 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
238,Quotation,MOE000ETQ19300253 / MOE/SCD/GOVT/BLDG/2019/JUN/Q10,"Provision for the design, supply and installation of Outdoor Experimental Learning (OEL) at Stamford Primary School.",Ministry of Education,11 Jun 2019 03:05PM,Construction ⇒ Renovation Supplies & Services,24 Jun 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
239,Quotation,MOESCHETQ19302951,"JPJC : Provision for the conceptualisation, design and construction of a Collaborative Learning Space in Jurong Pioneer Junior College",Ministry of Education - Schools,11 Jun 2019 11:20AM,Construction ⇒ Renovation Supplies & Services,21 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
240,Tender,JTC000ETT19300090 / JTC19T0038,Construction of Infrastructure Works at Cleantech Loop (Phase 1),Jurong Town Corporation,10 Jun 2019 05:50PM,Construction ⇒ Others,22 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
241,Quotation,MOESCHETQ19302947,Design and re-construction of external facade of Teahouse and Chinese Cultural Performing Arts Centre and Re-construction of Teahouse Shelving,Ministry of Education - Schools,10 Jun 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,18 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
242,Quotation,NPB000ETQ19300069 / NPB000EAR19300372,INVITATION TO QUOTE FOR THE PROVISION AND INSTALLATION OF CLIMATE MONITORING EQUIPMENT FOR THE NATIONAL PARKS BOARD,National Parks Board,07 Jun 2019 05:20PM,Construction ⇒ Renovation Supplies & Services,21 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
243,Quotation,MOESCHETQ19302929,Refurbishment of Mathematics Room at Methodist Girls' School (Primary),Ministry of Education - Schools,07 Jun 2019 04:20PM,Construction ⇒ General Building & Minor Construction Works,17 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
244,Qualification,JTC000EPQ19300002 / JTC19T0041,"Pre-tender Qualification for D&B of Phenol Plant Within the Existing WWTP, Including Ancillary Works, at JRC in JI",Jurong Town Corporation,07 Jun 2019 02:50PM,Construction ⇒ Civil Engineering,12 Jul 2019 04:00PM,CLOSED,As specified in the Evaluation Criteria,,Not Applicable,Not Applicable
245,Quotation,HDB000ETQ19300157 / DPG-QN190030,QUOTATION FOR SPECIALIST ACCREDITED CHECKING SERVICES FOR CONSTRUCTION OF INFRASTRUCTURE WORKS ALONG BEDOK RESERVOIR ROAD,Housing and Development Board,07 Jun 2019 02:50PM,Construction ⇒ Others,21 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
246,Tender,HDB000ETT19300148 / BIG-TN190032,(A) Construction of Bus Shelters and SPC in Punggol; (B) Construction of Bus Shelters in Hougang; (C) R&R In Hougang,Housing and Development Board,07 Jun 2019 02:20PM,Construction ⇒ Civil Engineering,12 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
247,Tender,HDB000ETT19300150 / HMG-TN190042,Addition and Alteration Works to Car Parks (C4) - Balance of Works,Housing and Development Board,07 Jun 2019 02:20PM,Construction ⇒ Civil Engineering,03 Jul 2019 04:00PM,AWARDED,Not Applicable,,,
248,Quotation,MOESCHETQ19302925 / NIL,"To design, print and install outdoor banners at the field - Admiralty Secondary School",Ministry of Education - Schools,07 Jun 2019 02:05PM,Construction ⇒ Signages,17 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
249,Tender,PUB000ETT19300132 / WSN-PW/33190131,Proposed 1600mm Diameter Water Pipeline from Punggol Promenade to Pasir Ris Drive 3,Public Utilities Board,07 Jun 2019 10:50AM,Construction ⇒ Pipe or Cable Laying & Road Reinstatement,04 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
250,Quotation,MOESCHETQ19302910,Provision of Services for Music Learning Walls and Corridors,Ministry of Education - Schools,07 Jun 2019 10:50AM,Construction ⇒ Renovation Supplies & Services,27 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
251,Quotation,NYP000ETQ19300117,Design and relayout of iCARE office space at School of Engineering,Nanyang Polytechnic,07 Jun 2019 10:35AM,Construction ⇒ Renovation Supplies & Services,26 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
252,Tender,PAS000ETT19300091 / PA-ITT-2019-0045,PROPOSED CYCLICAL MAINTENANCE PROGRAMME INCLUDING THE REPLACEMENT OF 1 NO OF PASSENGER LIFT TO HENDERSON COMMUNITY CLUB AT 500 BUKIT MERAH VIEW SINGAP,People's Association,07 Jun 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,10 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
253,Quotation,MOESCHETQ19302920,SMART SPACES for LEARNING at Fuhua Primary School,Ministry of Education - Schools,06 Jun 2019 06:20PM,Construction ⇒ General Building & Minor Construction Works,17 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
254,Quotation,CAA000ETQ19300037,Improvement Works for Perimeter Fence at Singapore Air Traffic Control Centre,Civil Aviation Authority of Singapore,06 Jun 2019 05:35PM,Construction ⇒ Fencing & Ironworks,18 Jun 2019 01:00PM,AWARDED,Not Applicable,,,
